Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
TRG 1,العامود الرئيسي,1,بيان حالة فلتر طلمبة التزييت+التاكد من عمل flowswitch,700,20,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,العامود الرئيسي,2,التاكد من تثبيت السنتر استيل,701,40,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,العامود الرئيسي,3,تشحيم العمود الرئيسي و البيد هولدر,702,15,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,العامود الرئيسي,4,تغير زيت جيربوكس موتور الدوران و الفتح,703,40,1 Mech,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 1,العامود الرئيسي,5,تغير زيت الجيربوكس الرئيسي,704,70,1 Mech,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 1,الترانسيفر,7,تنظيف الرولمان بلي+التربيط علي الموتور,710,45,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,الترانسيفر,8,تشحيم عربة الترانسيفر,711,10,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,حصائر الترام الرئيسي,9,اكتمال وسلامة جميع السيور,720,25,2 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,حصائر الترام الرئيسي,10,سلامة سكينة الليتروخلوصها,721,30,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,حصائر الترام الرئيسي,11,ضبط سرعة الحصائر,722,20,2 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,حصائر الترام الرئيسي,12,بيان حالة فرشاة الكاركس+سلامة الدلائل,723,15,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,حصائر الترام الرئيسي,13,ضبط استواء الحصائر بالنسبة للدرام,724,20,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,حصائر الترام الرئيسي,14,تشحيم كراسي البوبينات و عمود سكينة الليتر,725,25,1 Mech,26,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 1,حصائر الترام الرئيسي,15,تغير زيت جيربوكس مواتير السيور و البوبينات و سكينة الليتر,726,60,1 Mech,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRG 1,عربة الكيس,17,بيان حالة رولمان بلي الدسكات وجلب الفتيل,731,30,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
TRG 1,عربة الكيس,18,التشحيم,732,30,1 Mech,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,,,,
