Header,Task_Code,Task_Title,Crafts,Frequency,Time,Section,Discipline,Warning_Text,Steps_Text,issue,Issue_No,Issue_Date,Reviewed_By,Approved_By
Fo-I/E-24   Issue(1)   Rev(0),100,الكشف و تنظيف شربونات المواتير,1 Elect,4W,20 Min,"Building
DEPART.",Electrical,"
فصل الكهرباء الرئيسيه ووضع علامة التحذير ""عدم رفع البور"".","						-الصيانة:
- كل 13 اسبوع شربون مواتير P.M.  يجب تنظيفه و الكشف علي اطوالها.
- كل 4 اسابيع شربون مواتير D.C.  يجب تنظيفها و الكشف علي اطوالها

خطوات التنفيذ :				
1-تحريك الشربون من الهولدر.
2-الكشف علي سطح الشربون و طولها.
3-قم بتغيير الفرشه اذا كانت",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),140,تنظيف البانل,1 Elect,4W,45 MIN,Building DEPART.,Electrical,"قم بفصل الطاقه مع تعليق لافتة التحذير""عدم التوصيل"" علي البانل.","-الصيانة: كل 4 اسبوع يتم تنظيف البانل.

خطوات التنفيذ:
1- قم بتشغيل كل نظام التكييف فى القسم لاخراج كل الاتربة الموجودة.
2-افتح كل ابواب البانلات.
3-استعمل البلاور خلال مسافة 15 cm.
4-نظف مكونات البانل.
5-لاي قذاره متبقيه قم باستخدام السائل المنظف.
6-اغلق",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),150,التاكد من عمل تكيف البانل,1 Elect,4W,10 MIN,Building DEPART.,Electrical,قم بفصل الطاقه مع تعليق لافتة التحذير.,"-الصيانة: كل 4 اسبوع وحدات تبريد البانل يتم التأكد منها.

خطوات التنفيذ:
1. نظام التكييف:
1-حرك غطاء الفلتر.
2-اخرج الفلتر و تأكد من حالته (لو الفلتر تالف غيره بأخر جديد).
3-لو الفلتر حالته جيده نظفه جيدا بالبلاور.
4-وصل مفتاح البور الخاص بموتور التبريد.
",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),160,الكشف على الكونتكتورات,1 Elect,26 W,60 MIN,Building DEPART.,Electrical,قم بفصل الطاقه مع منع الاقتراب منها و تعليق لافتة التحذير,"-الصيانة: كل 26 اسبوع يتم التأكد من نقط توصيل الموتور. 

خطوات التنفيذ:
1-إزالة غطاء الكونتاكتور.
2-تنظيف الكونتاكتور بالهواء الجاف.
3-قم بالتأكد من شرط توصيل الكونتاكتور.
4-بأستخدام الادوات الخاصه قم بإزالة الجزء المحطم.
5-اعد غطاء الكونتاكتور.
6-وصل الط",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),170,الكشف على السفتى,2 Elect,4W,25 MIN,Building DEPART.,Electrical,"قم بفصل الطاقه مع تعليق لافتة التحذير""عدم التوصيل"" علي البانل.","-الصيانة: كل 4 اسابيع يتم التأكد من نظام السفتي في كل ماكينة. 

خطوات التنفيذ:
1-قم بتوصيل الطاقه و تشغيل الخط.
2-قم بالضغط علي زر الطواريء و التأكد من توقف الخط اذا حدث ذلك قم بالضغط علي زر '' Reset ''.
3-اذا لم يتوقف الخط قم بالتأكد من دائرة الكونترول.
",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),180,تنظيف و تاكيد تثبيت الفوتوسيل,1 Elect,4W,30 MIN,Building DEPART.,Electrical,قم بتوصيل كابل الطاقه مع تعليق لافتة التحذير.,"-الصيانة: كل 4 اسبوع يتم التأكد من عمل الفوتوسيلات و العواكس.

خطوات التنفيذ:
1-قم بالضغط علي زر الطوارىء لإيقاف عمل الماكينه.
2-قم بتنظيف الفوتوسيل و العواكس.
3- تأكد من تركيب الفوتوسيل و العواكس.
4-قم بقطع خط الضوء الخارج من الفوتوسيل و تأكد من عمله.
5-",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),190,تنظيف و تاكيد تثبيت الليمتات و البروكسيمتى,2 Elect,4W,20 MIN,Building DEPART.,Electrical,فصل الطاقه مع تعليق لافتة التحذير.,"-الصيانة: كل 4 اسبوع يتم التأكد من عمل البروجسيمتي و الفوتوسيل و الليمت سويتش.

خطوات التنفيذ:
1-قم بالضغط علي زر الطوارىء لإيقاف عمل الماكينه.
2-قم بتنظيف البروجسيمتي و الليمت سويتش و الكامه.
3- تأكد من وضع الكامه.
4-تأكد من عمل المفتاح من خلال وحدة plc.",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),200,CHECK PLC UNIT,1 Elect,52 W,240 MIN,Building DEPART.,Electrical,قم بفصل الطاقه مع تعليق لافتة التحذير.,"-الصيانة: كل 52 اسبوع قم بمراجعة و نظافة وحدات plc. 

خطوات التنفيذ:
1-إخلع وحدات الادخال و الاخراج من البانل.
2-قم بتنظيف الفلتر لوحدة plc.
3-نظف مصدر الطاقه باستخدام البلاور.
4-وصل الوحده.
5-قم بتجربة الخط.",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),110,تنظيف فلاتر المواتير,1 Elect,4W,40 MIN,Building DEPART.,Electrical,قم بفصل الطاقه مع تعليق لافتة التحذير.,"-الصيانة: كل 4 اسبوع يتم التأكد من نظافة فلاتر المواتير.

خطوات التنفيذ:
1-تأكد من عمل النظافة للفلاتر.
2-تأكد من عمل الخط بعد الانتهاء من اعمال الصيانه.",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),235,ضبط فرامل المواتير,1 Elect,4W,40 MIN,Building DEPART.,Electrical,"قم بفصل الطاقه مع تعليق لافتة التحذير ""غير متصل"".","-الصيانة: كل 4 اسبوع يتم التأكد من عمل الفرامل للاستعمال الصحيح.

خطوات التنفيذ:
1-التأكد من توصيل ملف الفرامل.
2-تأكد من توصيل الكهرباء للملف.
3-تأكد من توصيل مفتاح الكونتاكتور و تنظيفه بحذر (اذا حدث قراءه اعد هذه الخطوة).
4-تأكد من عمل الفرامل من خلال م",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),130,إعادة الربط على جميع ترامل البانل و المواتير,1 Elect,52 W,120 MIN,Building DEPART.,Electrical,قم بفصل الطاقه مع تعليق لافتة التحذير.,"-الصيانة: كل 52 اسبوع يتم التأكد من توصيل البانل. 

خطوات التنفيذ:
1-تأكد من نهايات التوصيلات.
2-تأكد من عمل الخط بعد الانتهاء من اعمال الصيانه.",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
,,,,,,,,,,,,,,
