Header,Task_Code,Task_Title,Crafts,Frequency,Time,Section,Discipline,Warning_Text,Steps_Text,issue,Issue_No,Issue_Date,Reviewed_By,Approved_By
Fo-I/E-24   Issue(1)   Rev(0),900,Check the bobbin centering oil level,1 Mechanic,12 Week,20 min,P. Maintenance of  TTM,Mechanical,,Check the oil level in centering device and refill if required,Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),901,Check festoon lateral level,1 Mechanic,4 Week,20 MIN,P. Maintenance of  TTM,Mechanical,,Check the lateral level using the sprat level and adjust  if required,Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),902,Check festoon shock absorber,1 Mechanic,4 Week,25 MIN,P. Maintenance of  TTM,Mechanical,,"1- Manually check the operation of the shock absorber.
2- if its too smooth replace the oil and if its too hard check the spring and rod
alignment",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),903,Lubricate the metal chain for festoon motor,1 Mechanic,26 Week,15 min,P. Maintenance of  TTM,Mechanical,Change the machine into manual mode,"1- Remove the chain cover
2- Put enough amount of grease on the chain Mobil B2
3- Put the cover back",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),904,Change festoon gearbox oil,1 Mechanic,52 Week,30 min,P. Maintenance of  TTM,Mechanical,,"1- Remove the drain plug and dump the used oil
2- Refill the gearbox with new oil Mobil 632",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),905,Lubricate the metal chain for trimming motor,1 Mechanic,26 Week,15 min,P. Maintenance of  TTM,Mechanical,Change the machine into manual mode,"1- Remove the chain cover
2- Put enough amount of grease on the chain
3- Put the cover back",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),906,Check the trimming device,1 Mechanic,12 Week,20 Min,P. Maintenance of  TTM,Mechanical,,"1- Check the fixation of trimming blades
2- Change bearing or blades if required",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),907,Check the let off tray roller,1 Mechanic,4 Week,15 min,P. Maintenance of  TTM,Mechanical,,"Check the condition of the rollers and its bearings and replace
if required",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),908,Lubricate the benser gear,1 Mechanic,26 Week,20 min,P. Maintenance of  TTM,Mechanical,,"1- Remove old grease
2- Put enough amount of grease on the gear Mobil B2",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),909,Lubricate the feeding rack,1 Mechanic,12 Week,15 min,P. Maintenance of  TTM,Mechanical,,"1- Remove old grease
2- Put enough amount of grease on the rack using Mobil B2",Ahmed Mosaad,1,31-Dec-25,Ahmed Metwally,Tareq Moustafa
