Header,Task_Code,Task_Title,Crafts,Frequency,Time,Section,Discipline,Warning_Text,Steps_Text,issue,Issue_No,Issue_Date,Reviewed_By,Approved_By
Fo-I/E-24   Issue(1)   Rev(0),800,Check bobbin carriage shock absorber,1 Mechanic,4 Week,25 min,P. Maintenance of  VMI,Mechanical,,"1- Manually check the operation of the shock absorber.
2- if its too smooth replace the oil and if its too hard check the spring and rod
alignment",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),801,Lubricate the bobbin carriage centering bearing,1 Mechanic,52 Week,15 MIN,P. Maintenance of  VMI,Mechanical,,Use the hand grease gun and lubricate the bearing with Mobil B2,Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),802,Check the bobbin carriage movement speed,1 Mechanic,4 Week,15 MIN,P. Maintenance of  VMI,Mechanical,,"Move the carriage in and out and adjust if required using the flow
regulator located on the cylinder both ends",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),803,Lubricate the bobbin carriage liner bearing,1 Mechanic,12  Week,20 min,P. Maintenance of  VMI,Mechanical,,Use the hand grease gun and lubricate the bearing with Mobil B2,Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),804,Change the myler gearbox oil,1 Mechanic,52 Week,45 min,P. Maintenance of  VMI,Mechanical,,"1- remove the drain plug and dump the used oil
2- Refill the gearbox with new oil Mobil 632",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),805,Lubricate the metal chain for myler motor,1 Mechanic,52 Week,15 min,P. Maintenance of  VMI,Mechanical,Change the machine into manual mode,"1- Remove the chain cover
2- Put enough amount of grease on the chain
3- Put the cover back",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),806,Change the let off gearbox oil,1 Mechanic,52 Week,45 Min,P. Maintenance of  VMI,Mechanical,,"1- Remove the drain plug and dump the used oil
2- Refill the gearbox with new oil Mobil 632",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),807,Change the angle motor gearbox oil,1 Mechanic,52 Week,45 min,P. Maintenance of  VMI,Mechanical,,"1- Remove the drain plug and dump the used oil
2- Refill the gearbox with new oil Mobil 632",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),808,Change the windup motor gearbox oil,1 Mechanic,52 Week,45 min,P. Maintenance of  VMI,Mechanical,,"1- Remove the drain plug and dump the used oil
2- Refill the gearbox with new oil Mobil 632",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),810,Check the magnet cylinders,1 Mechanic,4 Week,15 min,P. Maintenance of  VMI,Mechanical,,"1- Check on the movement of the magnets up and down
2- Adjust the speed of both or one of them if required",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),811,Lubricate the feeding guide screw,1 Mechanic,52 Week,15 min,P. Maintenance of  VMI,Mechanical,,Put enough amount of grease OMEGA 77 on the screw,Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),812,Check the magnet tray roller,1 Mechanic,4 Week,15 min,P. Maintenance of  VMI,Mechanical,,"Check the condition of the rollers and its bearings and replace
if required",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),813,Check the feeding movement speed,1 Mechanic,4 Week,15 min,P. Maintenance of  VMI,Mechanical,,"Move the feeding magnet forward and backward and adjust if
required using the flow  regulator located on the cylinder both ends",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),814,Check feeding cylinder shock absorber,1 Mechanic,4 Week,25 min,P. Maintenance of  VMI,Mechanical,,"1- Manually check the operation of the shock absorber.
2- if its too smooth replace the oil and if its too hard check the spring and rod
alignment",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),815,Check the bushes of the feeding screw,1 Mechanic,4 Week,30 min,P. Maintenance of  VMI,Mechanical,,"1- Move the feeding cylinder and check the bushes conditions
2- Replace the bushes in case if they are loose",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),816,Lubricate the metal chain for feeding screw motor,1 Mechanic,52 Week,15 min,P. Maintenance of  VMI,Mechanical,Change the machine into manual mode,"1- Remove the chain cover
2- Put enough amount of grease on the chain
3- Put the cover back",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),817,Change the feeding screw motor gearbox oil,1 Mechanic,52 Week,30 min,P. Maintenance of  VMI,Mechanical,,"1- Remove the drain plug and dump the used oil
2- Refill the gearbox with new oil Mobil 632",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),820,Check the blades hydraulic cylinders,1 Mechanic,4 Week,15 min,P. Maintenance of  VMI,Mechanical,,"1- Check the condition of the fixation hinges of the hydraulic
cylinder
2- Replace the hinge if it's loose
3- Replace the cylinder for irregular movement",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),821,Check the condition of the belt tray and its cylinder,1 Mechanic,4 Week,30 min,P. Maintenance of  VMI,Mechanical,,"1- Move the cylinder up and down and check the stoppage
positions of the tray
2- Adjust the tray position using the fixation pallet of the
cylinder
3- Check the belt for wear and replace if required",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),822,Check the smooth movement of the jumping tray,1 Mechanic,4 Week,20 min,P. Maintenance of  VMI,Mechanical,,"1- Check the movement of all trays and check the supply air hose if
required
2- Adjust all trays on the same level with the fixed tray and blade
edge",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
Fo-I/E-24   Issue(1)   Rev(0),823,Check safety guard for blades,1 Mechanic,4 Week,15 min,P. Maintenance of  VMI,Mechanical,,"1- Check the fixation of the transparent covers
2- Check the limit switch actuation pallet",Ahmed Mosaad,1,9/12/2023,Ahmed Metwally,Tareq Moustafa
