Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Scherography,Contactor and relay,1,Checking mechanical movement of control relay and cleaning,3.1,60,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Contactor and relay,2,Rewiring and connecting wires,3.2,60,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Main Panel,3,Cleanning the Panel using blower,4.1,30,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Main Panel,4,"checking all panel componenets (power & Control) for example ( C.B, Contactors, ..)",4.2,60,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Main Panel,5,Checking cables conditon from and to the panel and camera cables aslo,4.3,20,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Main Panel,6,Testing C.B correct operation and condition,4.4,10,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,PLC Panel,7,Reconnection and checking all PLC modules,5.1,10,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,PLC Panel,8,Cleanning all PLC modules and components,5.2,10,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Air condition Unit,9,Checking Air cond. Unit operation and Temp.,6.1,10,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Selector SW,10,Checking the wiring of selector Sw and replace defected,12.0,10,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Selector SW,11,rewiring all weak wires of selector SW,12.0,20,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Motors and Drives,12,checking and testing motors and drives in all directions,13.0,60,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Motors and Drives,13,Testing all proximities and sensors of movment Axis,11.2,30,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Scherography,Motors and Drives,14,setting tires measurment sensors,11.3,60,1E,15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,
