Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Uniformity,Uniformity,1,Checking the Mech. Movement of the relay and replacement if needed.,3.1,60,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,2,Checking and reconnecting wires,3.2,60,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,3,Cleaning the Panel with blower,4.1,30,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,4,"Checking all Panel components ( control and Power ) [ C.B, Contactors, ..]",4.2,60,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,5,Checking cables condition from and to the panel,4.3,20,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,6,Connecting and fixing PLC modules,4.4,10,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,7,Cleaning PLC modules using spray,5.1,10,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,8,Checking working of Air condition,5.2,10,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,9,Testing all selectors Movements,6.1,10,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,10,Rewiring the selector and replacement for defected,12.1,10,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,11,Testing the probes positions,12.3,20,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,12,Measuring Chuck width,14.0,90,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,13,Testing motor and brushes,15.0,90,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,14,Testing all safety sensors,16.0,60,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,15,Fixing LS arms,17.0,60,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,16,setting for safety relays,11.1,60,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
Uniformity,Uniformity,17,setting and cleaning sensors,11.2,30,1E,12,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,
