Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
X-Ray COLLMAN,,1,Checking mechanical movement of control relay and cleaning,X15,60,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,2,Checking MP1 of both stations and the operation panel,X16,60,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,3,Cleanning the Panel using blower and Rewiring and connecting wires,X17,30,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,4,"checking all panel componenets (power & Control) for example ( C.B, Contactors, ..)",X18,60,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,5,Checking cables conditon from and to the panel and Banner tire measurment system,X19,20,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,6,Checking the Tube and testing all movements and directions,X20,10,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,7,Reconnection and checking all PLC modules,X21,10,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,8,Cleanning all PLC modules and components,X22,10,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,9,Checking Air cond. Unit operation and Temp.,X23,10,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
X-Ray COLLMAN,,10,Testing Main C.B correct operation and condition,X24,10,1E,12,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
