Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Buffing Machine,Buffing Machine,1,check air setting (air regulators & filter),X1,60,1M,16,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
Buffing Machine,Buffing Machine,2,check and inspect air cylinders.,X9,60,1M,16,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
Buffing Machine,Buffing Machine,3,check tightness for bolts &coupling.,X10,30,1M,16,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
Buffing Machine,Buffing Machine,4,check pneuamtic system of the operation (solenoid valves).,X9,60,1M,16,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
Buffing Machine,Buffing Machine,5,Check gear boxes oil leakage,X5,20,1M,16,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
Buffing Machine,Buffing Machine,6,Change oil leakage,X5,10,1M,52,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffing Machine,Buffing Machine,7,Check greasing points,X5,40,1M,16,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x
Conveyor System,,1,"clean,lubricateall sprocket&chain.",C1,180,1M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
Conveyor System,,2,check the tension of all chain of turn tables.,C2,90,1M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
Conveyor System,,3,check the tightness for mounting bolts.,C3,90,1M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
Conveyor System,,4,check tension or all bolts.,C4,180,1M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
Conveyor System,,5,inspect&clean for rollers and pulleys.,C5,240,1M,52,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conveyor System,,6,check operation of air actuator.,C6,120,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
Conveyor System,,7,"check,clean the tannel belt from dirty and dust",C7,180,1M,12,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x
Conveyor System,,8,"check ,clean the belt before elevato from dirty",C8,180,1M,12,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,
Conveyor System,,9,check the chain tension of elevator.,C9,120,1M,26,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Conveyor System,,10,check the condition of gate of unloading conveor.,C10,300,1M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
Conveyor System,,11,"inspect,cleanfor air &pneumatic system.",C11,90,1M,16,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,
Conveyor System,,12,inspect&clean for all gearboxes.,C12,90,1M,26,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Conveyor System,,13,insppect&clean for all rollers brakes.,C13,240,1M,16,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,
Mould Clean Machine,,1,"check, clean&inspect racks and gear box",M1,120,1M,13,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
Mould Clean Machine,,2,check tightness of all chains,M2,90,1M,13,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
Mould Clean Machine,,3,check and inspect steam lines and mechaical connections.,M3,180,1M,13,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
Mould Clean Machine,,4,check oil for gear box and air lubractor,M4,60,1M,13,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
Mould Clean Machine,,5,check and inspect liquid nozzles,M5,150,1M,26,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Mould Clean Machine,,6,check wear for moving parts.,M6,180,1M,13,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
Mould Clean Machine,,7,check and inspect main pump.,M7,210,1M,26,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
