Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Conveyor System,,1,"clean,lubricateall sprocket&chain.",C1,180,1M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
Conveyor System,,2,check the tension of all chain of turn tables.,C2,90,1M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
Conveyor System,,3,check the tightness for mounting bolts.,C3,90,1M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
Conveyor System,,4,check tension or all bolts.,C4,180,1M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
Conveyor System,,5,inspect&clean for rollers and pulleys.,C5,240,1M,52,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conveyor System,,6,check operation of air actuator.,C6,120,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
Conveyor System,,7,"check,clean the tannel belt from dirty and dust",C7,180,1M,12,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x
Conveyor System,,8,"check ,clean the belt before elevato from dirty",C8,180,1M,12,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,
Conveyor System,,9,check the chain tension of elevator.,C9,120,1M,26,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Conveyor System,,10,check the condition of gate of unloading conveor.,C10,300,1M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
Conveyor System,,11,"inspect,cleanfor air &pneumatic system.",C11,90,1M,16,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,
Conveyor System,,12,inspect&clean for all gearboxes.,C12,90,1M,26,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Conveyor System,,13,insppect&clean for all rollers brakes.,C13,240,1M,16,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,
