Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
UNIFORMITY,,1,clean and lubricte for asam unit parts.,U1,90,1M,8,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,
UNIFORMITY,,2,check oil level for air lubrcation.,U2,30,1M,8,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,
UNIFORMITY,,3,check wear and grease for slide ways.,U3,60,1M,8,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,
UNIFORMITY,,4,clean the load wheel.,U4,90,1M,8,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,
UNIFORMITY,,5,check the setting for air and oil regulators.,U5,60,1M,13,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,
UNIFORMITY,,6,check leaks for air and oil system.,U6,60,1M,13,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,
UNIFORMITY,,7,"check, clean and drin for air filters.",U7,45,1M,13,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,
UNIFORMITY,,8,check pop up filter (hydraulic unit),U8,45,1M,13,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,
UNIFORMITY,,9,check oil level for gearbox.,U9,30,1M,13,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,
UNIFORMITY,,10,check tightness for all chains.,U10,90,1M,26,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
UNIFORMITY,,11,check tightness for all bolts and couplings.,U11,180,1M,26,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
UNIFORMITY,,12,check and inspect for all timing belt.,U12,90,1M,26,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
UNIFORMITY,,13,"check wear for guides ,screwa and gears.",U13,180,1M,26,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
UNIFORMITY,,14,check oil and clean the filter of hydraulic unit.,U14,60,1M,26,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
UNIFORMITY,,15,inspect and clean all conveyors.,U15,180,1M,52,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIFORMITY,,16,inspect and check for pneumatic system.,U16,90,1M,52,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIFORMITY,,17,inspect and check for hydraulic system,U17,90,1M,52,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIFORMITY,,18,inspect and check for all valves,U18,90,1M,52,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
