Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
X-Ray Collman,,1,check air setting (air regulators & filter),X1,60,1M,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
X-Ray Collman,,2,check water cooling unit (water pump and level),X2,60,1M,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
X-Ray Collman,,3,"check spreading device ( grease ball ,screw)",X3,30,2M,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
X-Ray Collman,,4,"clean , grease, lub. Diode carriages.",X4,60,1M,24,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,
X-Ray Collman,,5,"clean & lub. Holder (tyre holder, R & L )",X5,20,1M,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
X-Ray Collman,,6,"check , clean ,grease all gears,chains",X6,10,1M,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
X-Ray Collman,,7,"check ,clean all roller conveyors.",X7,10,1M,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
X-Ray Collman,,8,check and inspect air cylinders.,X9,10,2M,32,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
X-Ray Collman,,9,check tightness for bolts &coupling.,X10,10,1M,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
X-Ray Collman,,10,check pneuamtic system of the operation (solenoid valves).,X9,10,1M,32,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
X-Ray Collman,,11,check the operation of machine Doors,X11,20,2M,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
X-Ray Collman,,12,check the operation for the mechanism of x-ray tube.,X12,60,1M,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
X-Ray Collman,,13,check the operation for the mechanism of diode,X13,30,2M,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
X-Ray Collman,,14,check all the sporket gear for wear and its conditions,X14,60,2M,16,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
X-Ray ALFA,,1,check air setting (air regulators & filter),X1,60,1M,4,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,
X-Ray ALFA,,2,check water cooling unit (water pump and level),X2,60,1M,4,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,
X-Ray ALFA,,3,"check spreading device ( grease ball ,screw)",X3,30,2M,8,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,
X-Ray ALFA,,4,"clean , grease, lub. Diode carriages.",X4,60,1M,24,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,
X-Ray ALFA,,5,"clean & lub. Holder (tyre holder, R & L )",X5,20,1M,8,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,
X-Ray ALFA,,6,"check , clean ,grease all gears,chains",X6,10,1M,4,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,
X-Ray ALFA,,7,"check ,clean all roller conveyors.",X7,10,1M,4,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,
X-Ray ALFA,,8,check and inspect air cylinders.,X9,10,2M,32,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
X-Ray ALFA,,9,check tightness for bolts &coupling.,X10,10,1M,8,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,
X-Ray ALFA,,10,check pneuamtic system of the operation (solenoid valves).,X9,10,1M,32,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
X-Ray ALFA,,11,check the operation of machine Doors,X11,20,2M,8,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,
X-Ray ALFA,,12,check the operation for the mechanism of x-ray tube.,X12,60,1M,4,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,
X-Ray ALFA,,13,check the operation for the mechanism of diode,X13,30,2M,4,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,
X-Ray ALFA,,14,check all the sporket gear for wear and its conditions,X14,60,2M,16,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,
X-Ray MONSANTO,,1,check air setting (air regulators & filter),X1,60,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
X-Ray MONSANTO,,2,check water cooling unit (water pump and level),X2,60,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
X-Ray MONSANTO,,3,"check spreading device ( grease ball ,screw)",X3,30,2M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
X-Ray MONSANTO,,4,"clean , grease, lub. Diode carriages.",X4,60,1M,24,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,
X-Ray MONSANTO,,5,"clean & lub. Holder (tyre holder, R & L )",X5,20,1M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
X-Ray MONSANTO,,6,"check , clean ,grease all gears,chains",X6,10,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
X-Ray MONSANTO,,7,"check ,clean all roller conveyors.",X7,10,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
X-Ray MONSANTO,,8,check and inspect air cylinders.,X9,10,2M,32,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
X-Ray MONSANTO,,9,check tightness for bolts &coupling.,X10,10,1M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
X-Ray MONSANTO,,10,check pneuamtic system of the operation (solenoid valves).,X9,10,1M,32,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
X-Ray MONSANTO,,11,check the operation of machine Doors,X11,20,2M,8,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,
X-Ray MONSANTO,,12,check the operation for the mechanism of x-ray tube.,X12,60,1M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
X-Ray MONSANTO,,13,check the operation for the mechanism of diode,X13,30,2M,4,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,
X-Ray MONSANTO,,14,check all the sporket gear for wear and its conditions,X14,60,2M,16,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,
