Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
B1,طاحونة الكراكر,1,التأكد من عمل سير التغذية بكفاءة,300,15,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة الكراكر,2,معالجة أى تسريب زيت من الجيربوكس,310,45,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة الكراكر,3,ضبط قطع سكينة سير التغذية بكفاءة,320,45,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,طاحونة الكراكر,4,تغيير سكينتى سير التغذية (الروتارى و الكونتر),330,120,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة الكراكر,5,تنظيف رولات السير الناقل من الكراكر,340,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة الكراكر,6,تنظيف السير الناقل من الكراكر,350,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة الكراكر,7,معالجة أى تسريب مياه من الروتارى جوينت,360,60,2,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة البريفيدر,8,معالجة اى شحط مطاط فى بلتة الأستوك بلندر,370,45,2,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة البريفيدر,9,تنظيف رولات السير الناقل من البريفيدر,340,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة البريفيدر,10,تنظيف السير الناقل من البريفيدر,350,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة البريفيدر,11,التأكد من قطع السكاكين السفلية,380,10,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,طاحونة البريفيدر,12,سن سكاكين القطع السفلية,390,30,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,طاحونة البريفيدر,13,معالجة أى تسريب مياه من الروتارى جوينت,360,60,2,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة الفيدر,14,معالجة اى شحط مطاط فى بلتة الأستوك بلندر,370,45,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,طاحونة الفيدر,15,تنظيف رولات السير الناقل العلوى من الفيدر,340,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة الفيدر,16,تنظيف السير الناقل العلوى من الفيدر,350,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة الفيدر,17,تنظيف رولات السير الناقل السفلى من الفيدر,340,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة الفيدر,18,تنظيف السير الناقل السفلى من الفيدر,350,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,طاحونة الفيدر,19,التأكد من قطع السكاكين السفلية,380,15,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,طاحونة الفيدر,20,سن سكاكين القطع السفلية,390,30,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,طاحونة الفيدر,21,معالجة أى تسريب مياه من الروتارى جوينت,360,60,2,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,الكاندر,22,تنظيف رولات سلندرات الكالندر الاربعة,340,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,الكاندر,23,ضبط حركة سير الويج-واج العلوى,300,30,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,الكاندر,24,تنظيف رولات وسير الويج-واج العلوى,340,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,25,ضبط حركة سير الويج-واج السفلى,300,30,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
B1,الكاندر,26,معالجة اى تسريب زيت من وحدة هيدروليك الكالندر,310,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,27,تنظيف فلاتر زيت وحدة هيدروليك الكالندر,400,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,الكاندر,28,التأكد من ضغوط زيت الهيدروليك,410,30,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,الكاندر,29,معالجة اى تسريب زيت من وحدة تزييت الكالندر,310,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,30,تنظيف فلاتر زيت وحدة تزييت الكالندر,400,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,الكاندر,31,التأكد من ضغوط زيت وحدة التزييت,410,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,32,التأكد من عمل بساتم البري-لودينج بكفاءة,420,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,الكاندر,33,معالجة أي تسريب مياه من الروتارى جوينت,360,60,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,34,ضبط البنشر السفلى,380,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,35,تغيير سكاكين البنشر السفلى,390,60,1,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B1,الكاندر,36,ضبط البنشر العلوى,380,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,الكاندر,37,تغيير سكاكين البنشر السفلى,390,60,1,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B1,الكاندر,38,ضبط الخلوص بين الدرافيل,430,180,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B1,الكاندر,39,ضبط سكاكين قطع العرض,380,45,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,الكاندر,40,تغيير سكاكين قطع العرض,390,45,1,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B1,حجرة السلك,41,تغيير بلى شبابيك السلك الصغيرة,440,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,حجرة السلك,42,اتمام نقص جلب البورسيلين فى شبابيك السلك,440,45,1,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B1,حجرة السلك,43,التأكد من عمل فرامل بكرات الصف A بكفاءة,450,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,حجرة السلك,44,تغيير ما يلزم فى فرامل بكرات الصف A,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,حجرة السلك,45,التأكد من عمل فرامل بكرات الصف B بكفاءة,450,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,حجرة السلك,46,تغيير ما يلزم فى فرامل بكرات الصف B,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,حجرة السلك,47,التأكد من عمل فرامل بكرات الصف C بكفاءة,450,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,حجرة السلك,48,تغيير ما يلزم فى فرامل بكرات الصف C,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,حجرة السلك,49,التأكد من عمل فرامل بكرات الصف D بكفاءة,450,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,حجرة السلك,50,تغيير ما يلزم فى فرامل بكرات الصف D,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,باقي الخط,51,ضبط رولات ترابيزة المغناطيس,440,45,1,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B1,باقي الخط,52,ضبط رول شد السلك,440,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B1,باقي الخط,53,التأكد من عمل الثرموريجيوليشن,470,45,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,باقي الخط,54,معالجة أى تسريب مياه من الثرموريجيوليشن,360,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B1,باقي الخط,55,التاكد من عمل وحدة السنترة بكفاءة,420,90,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
B1,باقي الخط,56,ضبط ما يلزم وحدة السنترة,480,90,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
