Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
B3 0.BELT MECHANICAL,حجرة السلك,1,تغيير بلى شبابيك السلك الصغيرة,440,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3 0.BELT MECHANICAL,حجرة السلك,2,التأكد من عمل فرامل بكرات الصف A بكفاءة,450,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT MECHANICAL,حجرة السلك,3,تغيير ما يلزم فى فرامل بكرات الصف A,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT MECHANICAL,حجرة السلك,4,التأكد من عمل فرامل بكرات الصف B بكفاءة,450,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT MECHANICAL,حجرة السلك,5,تغيير ما يلزم فى فرامل بكرات الصف B,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT MECHANICAL,الاكسترودر,6,معالجة اى تسريب زيت من الجيربوكس,310,60,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B3 0.BELT MECHANICAL,الاكسترودر,7,معالجة أى تسريب مياه من روتارى جوينت الاكسترودر,360,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT MECHANICAL,الاكسترودر,8,التأكد من عمل Driving Coupling بكفاءة,380,45,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT MECHANICAL,الاكسترودر,9,التأكد من عمل الثرموريجيوليشن,470,60,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT MECHANICAL,الاكسترودر,10,معالجة أى تسريب مياه من الثرموريجيوليشن,360,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT LUBRICATION,خط تصنيع الزيرو,1,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT LUBRICATION,خط تصنيع الزيرو,2,تنظيف,600,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT LUBRICATION,خط تصنيع الزيرو,3,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT LUBRICATION,الاكسترودر,4,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT LUBRICATION,الاكسترودر,5,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT LUBRICATION,الاكسترودر,6,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3 0.BELT LUBRICATION,درامات التبريد,7,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT LUBRICATION,درامات التبريد,8,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3 0.BELT LUBRICATION,الفستونـة,9,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT LUBRICATION,الفستونـة,10,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3 0.BELT LUBRICATION,الوايندر,11,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3 0.BELT LUBRICATION,الوايندر,12,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,حجرة السلك,1,تغيير بلى شبابيك السلك الصغيرة,440,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3 0.BELT.2 MECHANICAL,حجرة السلك,2,التأكد من عمل فرامل بكرات الصف A بكفاءة,450,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,حجرة السلك,3,تغيير ما يلزم فى فرامل بكرات الصف A,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,حجرة السلك,4,التأكد من عمل فرامل بكرات الصف B بكفاءة,450,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,حجرة السلك,5,تغيير ما يلزم فى فرامل بكرات الصف B,460,120,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,الاكسترودر,6,معالجة اى تسريب زيت من الجيربوكس,310,60,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
B3 0.BELT.2 MECHANICAL,الاكسترودر,7,معالجة أى تسريب مياه من روتارى جوينت الاكسترودر,360,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,الاكسترودر,8,التأكد من عمل Driving Coupling بكفاءة,380,45,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,الاكسترودر,9,التأكد من عمل الثرموريجيوليشن,470,60,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT.2 MECHANICAL,الاكسترودر,10,معالجة أى تسريب مياه من الثرموريجيوليشن,360,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT.2 LUBRICATION,خط تصنيع الزيرو,1,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT.2 LUBRICATION,خط تصنيع الزيرو,2,تنظيف,600,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT.2 LUBRICATION,خط تصنيع الزيرو,3,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
B3 0.BELT.2 LUBRICATION,الاكسترودر,4,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
B3 0.BELT.2 LUBRICATION,الاكسترودر,5,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
