Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Duplex Lubrication,"سير تغذية اكسترودر ""6",1,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Duplex Lubrication,"سير تغذية اكسترودر ""6",2,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,خط انتاج السيدوول,3,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Duplex Lubrication,خط انتاج السيدوول,4,تنظيف,600,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Duplex Lubrication,خط انتاج السيدوول,5,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Duplex Lubrication,منطقة الاكسترودر,6,زيت الهواء,610,30,1,6,x,,,,,,x,,,,,,x,,,,,,x,,,,,,x,,,,,,x,,,,,,x,,,,,,x,,,,,,x,,,
Duplex Lubrication,منطقة الاكسترودر,7,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Duplex Lubrication,منطقة الاكسترودر,8,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,وحدة هيدروليك الاكسترودر,9,تنظيف,600,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Duplex Lubrication,وحدة هيدروليك الاكسترودر,10,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,وحدة تزييت الفيدرول,11,تنظيف,600,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Duplex Lubrication,وحدة تزييت الفيدرول,12,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,سير الماستر,13,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Duplex Lubrication,سير الماستر,14,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,سير الاسترب,15,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Duplex Lubrication,سير الاسترب,16,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,السير الرافع,17,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplex Lubrication,السير الرافع,18,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Duplex Lubrication,احواض التبريد,19,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
