Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Roller Head Mechanical,سير التغذية,1,التأكد من عمل سير التغذية بكفاءة,300,15,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,سير التغذية,2,تنظيف رولات سير التغذية,340,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,سير التغذية,3,تنظيف سير التغذية,350,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,4,معالجة اى تسريب زيت من وحدة الهيدروليك,310,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,5,معالجة اى تسريب زيت من الجيربوكس,310,60,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,6,معالجة اى تسريب زيت من الفيدر,310,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,7,تغيير بلى الفيدر,440,120,2,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,8,معالجة أى تسريب مياه من روتارى جوينت الاكسترودر,360,60,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,9,التأكد من عمل سيور Driving بكفاءة,350,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,10,التأكد من عمل الثرموريجيوليشن,470,45,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الاكسترودر,11,معالجة أى تسريب مياه من الثرموريجيوليشن,360,60,2,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,12,معالجة اى تسريب زيت من وحدة هيدروليك الكالندر,310,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,13,التأكد من ضغوط زيت الهيدروليك,410,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,14,معالجة اى تسريب زيت من وحدة تزييت الكالندر,310,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,15,تنظيف فلاتر زيت وحدة تزييت الكالندر,400,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,16,التأكد من ضغوط زيت وحدة التزييت,410,30,1,4,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,,x,,,
Roller Head Mechanical,الكالندر,17,التأكد من عمل البساتم بكفاءة,420,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,18,معالجة أى تسريب مياه من الروتارى جوينت OP,360,60,2,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,19,ضبط الخلوص بين الدرافيل,430,180,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Roller Head Mechanical,الكالندر,20,ضبط سكاكين قطع العرض,380,45,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,21,تغيير سكاكين قطع العرض,390,45,2,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,22,معالجة أى تسريب مياه من الروتارى جوينت DR,360,60,2,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,23,التأكد من عمل الثرموريجيوليشن,470,45,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,الكالندر,24,معالجة أى تسريب مياه من الثرموريجيوليشن,360,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,سير الماستر,25,ضبط حركة سير الماستر,300,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
Roller Head Mechanical,سير الماستر,26,تنظيف رولات سير الماستر,340,60,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
